artist_name,birth_year,birth_year_key,style_name,style_count,style_years
Bart van der Leck,1876,1876,Neoplasticism,17,1916-1958
Michael Bell,1936,1936,New Realism,,
JCJ Vanderheyden,1928,1928,Neo-Minimalism,,2001-2001
JCJ Vanderheyden,1928,1928, Post-Painterly Abstraction,,
Antonio Povedano,1918,1918,Neo-Figurative Art,,
Antonio Povedano,1918,1918, Unknown,,
Arthur Pan,1894,1894,Realism,,
A.Y. Jackson,1882,1882,Art Nouveau (Modern),,1913-1953
A.Y. Jackson,1882,1882, Post-Impressionism,,
A.Y. Jackson,1882,1882, Symbolism,,
Chang Dai-chien,1899,1899,Expressionism,,1965-1983
Chang Dai-chien,1899,1899, Ink and wash painting,,
Félix Del Marle,1889,1889,Abstract Art,,1925-1946
Félix Del Marle,1889,1889, Constructivism,,
Félix Del Marle,1889,1889, Cubism,,
Félix Del Marle,1889,1889, Cubo-Futurism,,
Félix Del Marle,1889,1889, Expressionism,,
Félix Del Marle,1889,1889, Futurism,,
Félix Del Marle,1889,1889, Neoplasticism,,
Félix Del Marle,1889,1889, Surrealism,,
Roger Bissière,1886,1886,Art Informel,,1947-1969
Roger Bissière,1886,1886, Cubism,,
Roger Bissière,1886,1886, Lyrical Abstraction,,
Roger Bissière,1886,1886, Post-Impressionism,,
Jacques Hérold,1910,1910,Lyrical Abstraction,,1956-1977
Jacques Hérold,1910,1910, Surrealism,,
M.C. Escher,1898,1898,Art Deco,,1959-1959
M.C. Escher,1898,1898, Art Nouveau (Modern),,
M.C. Escher,1898,1898, Cubism,,
M.C. Escher,1898,1898, Expressionism,,
M.C. Escher,1898,1898, Northern Renaissance,,
M.C. Escher,1898,1898, Op Art,,
M.C. Escher,1898,1898, Realism,,
M.C. Escher,1898,1898, Surrealism,,
Hong Song-dam,1955,1955,Social Realism,15,1982-1989
Mestre Ataíde,1762,1762,Baroque,15,1799-1828
Li Yuan-chia,1929,1929,Abstract Art,,1960-1962
Li Yuan-chia,1929,1929, Conceptual Art,,
Li Yuan-chia,1929,1929, Kinetic Art,,
Li Yuan-chia,1929,1929, Minimalism,,
José Luzán,1710,1710,Baroque,4,1750-1770
António de Carvalho da Silva Porto,1850,1850,Impressionism,,1877-1886
António de Carvalho da Silva Porto,1850,1850, Realism,,
Jean-Joseph-Xavier Bidauld,1758,1758,Neoclassicism,,
Pieter Saenredam,1597,1597,Baroque,,
Shin Yoon-bok,1758,1758,Joseon Dynasty,,
Jindrich Styrsky,1899,1899,Cubism,,
Jindrich Styrsky,1899,1899, Expressionism,,
Jindrich Styrsky,1899,1899, Surrealism,,
George Philip Reinagle,1802,1802,Romanticism,,
Ralph Blakelock,1847,1847,Romanticism,,
Ralph Blakelock,1847,1847, Tonalism,,
Frances Macdonald,1873,1873,Art Nouveau (Modern),2,1886-1905
Pellizza da Volpedo,1868,1868,Divisionism,,
Pellizza da Volpedo,1868,1868, Realism,,
Pellizza da Volpedo,1868,1868, Social Realism,,
Pellizza da Volpedo,1868,1868, Unknown,,
Raimundo de Madrazo,1841,1841,Academicism,,
Raimundo de Madrazo,1841,1841, Impressionism,,
Raimundo de Madrazo,1841,1841, Japonism,,
Raimundo de Madrazo,1841,1841, Mannerism (Late Renaissance),,
Raimundo de Madrazo,1841,1841, Realism,,
Raimundo de Madrazo,1841,1841, Rococo,,
Elenore Abbott,1875,1875,Art Nouveau (Modern),,
Elenore Abbott,1875,1875, Romanticism,,
C. R. W. Nevinson,1889,1889,Cubism,,
C. R. W. Nevinson,1889,1889, Divisionism,,
C. R. W. Nevinson,1889,1889, Expressionism,,
C. R. W. Nevinson,1889,1889, Futurism,,
C. R. W. Nevinson,1889,1889, Post-Impressionism,,
Il Sassetta (Stefano di Giovanni),1374,1374,Early Renaissance,,
Rafael García Hispaleto (El Hispaleto),1833,1833,Costumbrismo,,
Rafael García Hispaleto (El Hispaleto),1833,1833, Romanticism,,
Alexei Korzukhin,1835,1835,Realism,44,1850-1893
Alexei Korzukhin,1835,1835, Unknown,,
Charles-Andre van Loo (Carle van Loo),1705,1705,Orientalism,,
Charles-Andre van Loo (Carle van Loo),1705,1705, Rococo,,
Lubo Kristek,1943,1943,Conceptual Art,,2007-2010
Lubo Kristek,1943,1943, Kinetic Art,,
Lubo Kristek,1943,1943, Neo-Dada,,
Lubo Kristek,1943,1943, Performance Art,,
Lubo Kristek,1943,1943, Surrealism,,
Lubo Kristek,1943,1943, Symbolism,,
Lubo Kristek,1943,1943, Unknown,,
Ding Yi,1750,1750,Maximalism,,
Phase 2,1955,1955,Street art,,
TRACY 168,1958,1958,Street art,,
Ad Reinhardt,1913,1913,Abstract Art,,1937-1941
Ad Reinhardt,1913,1913, Abstract Expressionism,,
Ad Reinhardt,1913,1913, Color Field Painting,,
Ad Reinhardt,1913,1913, Expressionism,,
Ad Reinhardt,1913,1913, Hard Edge Painting,,
Ad Reinhardt,1913,1913, Synthetic Cubism,,
Adnan Coker,1927,1927,Abstract Art,,1992-2008
Adnan Coker,1927,1927, Abstract Expressionism,,
Akkitham Narayanan,1939,1939,Abstract Art,17,1974-1974
Alberto Magnelli,1888,1888,Abstract Art,,1916-1971
Alberto Magnelli,1888,1888, Art Nouveau (Modern),,
Alberto Magnelli,1888,1888, Cubism,,
Alberto Magnelli,1888,1888, Expressionism,,
Alberto Magnelli,1888,1888, Fauvism,,
Alberto Magnelli,1888,1888, Metaphysical art,,
