artist_name,birth_year,birth_year_key,place_name
Winifred Nicholson,1893,1893,Oxford
Wladyslaw Strzeminski,1893,1893,Minsk
Wolfgang Paalen,1905,1905,Vienna
Yiannis Moralis,1916,1916,Arta
Aaron Siskind,1903,1903,New York City
Abidin Dino,1913,1913,Istanbul
Adja Yunkers,1900,1900,Riga
Adolph Gottlieb,1903,1903,New York City
Aki Kuroda,1944,1944,Kyoto
Al Held,1928,1928,Brooklyn
Albert Irvin,1922,1922,Bermondsey
Alexander Liberman,1912,1912,Kyiv
Alfred Jensen,1903,1903,Guatemala City
Alice Baber,1928,1928,Charleston
Allan Kaprow,1927,1927,Atlantic City
Alma Woodsey Thomas,1891,1891,Columbus
Alvaro Lapa,1939,1939,Évora
Andy Warhol,1928,1928,Pittsburgh
Anne Ryan,1889,1889,Hoboken
Antonio Corpora,1909,1909,Tunis
Armand Vaillancourt,1929,1929,Canada
Arshile Gorky,1904,1904,Dilkaya
Arthur Pinajian,1914,1914,New Jersey
Atsuko Tanaka,1932,1932,Osaka
Audrey Flack,1931,1931,New York City
Avigdor Arikha,1929,1929,Rădăuți
Barnett Newman,1905,1905,New York City
Basil Beattie,1935,1935,West Hartlepool
Basuki Abdullah,1915,1915,Surakarta City
Bernard Cohen,1933,1933,London
Betty Parsons,1900,1900,New York City
Blinky Palermo,1943,1943,Leipzig
Bradley Walker Tomlin,1899,1899,Syracuse
Brett Whiteley,1939,1939,Sydney
Brice Marden,1938,1938,Bronxville
Bui Xuan Phai,1920,1920,Unknown
Burhan Dogancay,1929,1929,Istanbul
Charles Garabedian,1923,1923,Detroit
Clarence Holbrook Carter,1936,1936,Montgomery
Craig Kauffman,1932,1932,Los Angeles
Cy Twombly,1928,1928,Lexington
Daan Lemaire,1942,1942,Naarden
Dan Christensen,1942,1942,Cozad
Dan Flavin,1933,1933,New York City
David Hare,1917,1917,New York City
Donald Judd,1928,1928,Excelsior Springs
Douglas Huebler,1924,1924,Ann Arbor
Eduardo Nery,1938,1938,Figueira da Foz
Edward Corbett,1817,1817,Chicago
Edward Ruscha,1937,1937,Omaha
Elaine de Kooning,1918,1918,Brooklyn
Elmer Bischoff,1916,1916,Berkeley
Endre Balint,1914,1914,Budapest
Esteban Vicente,1903,1903,Turégano
Etel Adnan,1925,1925,Beirut
Eva Hesse,1936,1936,Hamburg
Frank Bowling,1934,1934,Bartica
Frank Lobdell,1921,1921,Lake County
Frank Stella,1936,1936,Malden
Frederic Matys Thursz,1930,1930,Casablanca
Frederick Hammersley,1919,1919,Salt Lake City
Friedel Dzubas,1915,1915,Berlin
Gandy Brodie,1924,1924,Brooklyn
Gary Wragg,1946,1946,Unknown
Gebre Kristos Desta,1932,1932,Unknown
Gene Davis,1920,1920,"Washington, D.C."
George Stefanescu,1843,1843,Bucharest
Gerhard Richter,1932,1932,Dresden
Giorgio Cavallon,1904,1904,Gambellara
Gotthard Graubner,1930,1930,Erlbach
