artist1_name,birth_year1,birth_year1_key,artist2_name,relationship_type
Balcomb Greene,1904,1904,Juan Gris,Influenced By
Balcomb Greene,1904,1904,Piet Mondrian,Influenced By
Balcomb Greene,1904,1904,Pablo Picasso,Influenced By
Balcomb Greene,1904,1904,Henri Matisse,Influenced By
Ben Nicholson,1894,1894,Christopher Wood,Friend
Constantin Brâncuși,1876,1876,Diego Velazquez,Pupil
Constantin Brâncuși,1876,1876,Auguste Rodin,Pupil
Constantin Brâncuși,1876,1876,Paul Gauguin,Influenced By
Constantin Brâncuși,1876,1876,Fernand Leger,Influenced By
Constantin Brâncuși,1876,1876,Noguchi Isamu,Influenced On
Constantin Brâncuși,1876,1876,Richard Serra,Influenced On
Constantin Brâncuși,1876,1876,Robert Morris,Influenced On
Constantin Brâncuși,1876,1876,Donald Judd,Influenced On
Constantin Brâncuși,1876,1876,Edgar Negret,Influenced On
Constantin Brâncuși,1876,1876,Amedeo Modigliani,Friend
Constantin Brâncuși,1876,1876,Louise Bourgeois,Friend
Constantin Brâncuși,1876,1876,Pablo Picasso,Friend
Constantin Brâncuși,1876,1876,Man Ray,Friend
Constantin Brâncuși,1876,1876,Marcel Duchamp,Friend
Constantin Brâncuși,1876,1876,Henri Rousseau,Friend
Constantin Brâncuși,1876,1876,Fernand Leger,Friend
Constantin Brâncuși,1876,1876,Camil Ressu,Friend
Constantin Brâncuși,1876,1876,Pedro Coronel,Friend
David Burliuk,1882,1882,Oleksandr Bogomazov,Influenced By
David Burliuk,1882,1882,Aleksandra Ekster,Influenced By
David Burliuk,1882,1882,Victor Palmov,Influenced By
David Burliuk,1882,1882,Alexander Khvostenko-Khvostov,Influenced By
David Burliuk,1882,1882,Vasyl Yermylov,Influenced By
David Burliuk,1882,1882,Vadym Meller,Influenced By
David Burliuk,1882,1882,Oleksandr Bogomazov,Friend
David Burliuk,1882,1882,Aleksandra Ekster,Friend
David Burliuk,1882,1882,Victor Palmov,Friend
David Burliuk,1882,1882,Alexander Khvostenko-Khvostov,Friend
David Burliuk,1882,1882,Vasyl Yermylov,Friend
David Burliuk,1882,1882,Vadym Meller,Friend
David Smith,1906,1906,Anthony Caro,Influenced On
Erik Bulatov,1933,1933,Robert Falk,Influenced By
Erik Bulatov,1933,1933,Ilya Kabakov,Friend
Fernand Leger,1881,1881,Nadir Afonso,Teacher
Fernand Leger,1881,1881,Asger Jorn,Teacher
Fernand Leger,1881,1881,Tarsila do Amaral,Teacher
Fernand Leger,1881,1881,Louise Bourgeois,Teacher
Fernand Leger,1881,1881,Jules Olitski,Teacher
Fernand Leger,1881,1881,Margit Selska,Teacher
Fernand Leger,1881,1881,Jean-Leon Gerome,Pupil
Fernand Leger,1881,1881,Paris,Pupil
Fernand Leger,1881,1881,CT,Pupil
Fernand Leger,1881,1881,Henri Rousseau,Influenced By
Fernand Leger,1881,1881,Paul Cezanne,Influenced By
Fernand Leger,1881,1881,Henri Matisse,Influenced By
Fernand Leger,1881,1881,Roy Lichtenstein,Influenced On
Fernand Leger,1881,1881,James Rosenquist,Influenced On
Fernand Leger,1881,1881,Ellsworth Kelly,Influenced On
Fernand Leger,1881,1881,Frank Stella,Influenced On
Fernand Leger,1881,1881,Marc Chagall,Friend
Fernand Leger,1881,1881,Piet Mondrian,Friend
Fernand Leger,1881,1881,Le Corbusier,Friend
Fernand Leger,1881,1881,Robert Delaunay,Friend
Fernand Leger,1881,1881,Roman Selsky,Friend
Fernand Leger,1881,1881,Alice Bailly,Friend
Francis Picabia,1879,1879,Man Ray,Friend
Francis Picabia,1879,1879,Alice Bailly,Friend
Franz Marc,1880,1880,El Greco,Influenced By
Franz Marc,1880,1880,Paul Klee,Influenced On
Franz Marc,1880,1880,Edvard Munch,Friend
Franz Marc,1880,1880,August Macke,Friend
Franz Marc,1880,1880,Wassily Kandinsky,Friend
Giacomo Balla,1871,1871,Mario Sironi,Teacher
Giacomo Balla,1871,1871,Mario Sironi,Influenced By
Giacomo Balla,1871,1871,Paris,Influenced By
Henri Matisse,1869,1869,Edvard Munch,Influenced By
Henri Matisse,1869,1869,Pierre-Auguste Renoir,Influenced By
Henri Matisse,1869,1869,Alfred Sisley,Influenced By
Henri Matisse,1869,1869,Marc Chagall,Influenced On
Henri Matisse,1869,1869,Pablo Picasso,Influenced On
Henri Matisse,1869,1869,Lee Krasner,Influenced On
Henri Matisse,1869,1869,Max Pechstein,Influenced On
Henri Matisse,1869,1869,Fernand Leger,Influenced On
Henri Matisse,1869,1869,Chaim Soutine,Influenced On
Henri Matisse,1869,1869,Karel Appel,Influenced On
Henri Matisse,1869,1869,Balcomb Greene,Influenced On
Henri Matisse,1869,1869,Man Ray,Influenced On
Henri Matisse,1869,1869,Mikhail Larionov,Influenced On
Henri Matisse,1869,1869,Guan Zilan,Influenced On
Henri Matisse,1869,1869,Carlos Nadal,Influenced On
Henri Matisse,1869,1869,Xavier Martinez,Friend
Henry Moore,1898,1898,Amedeo Modigliani,Influenced By
Henry Moore,1898,1898,Michelangelo,Influenced By
Henry Moore,1898,1898,Jacob Epstein,Influenced By
Henry Moore,1898,1898,Auguste Rodin,Influenced By
Henry Moore,1898,1898,Anthony Caro,Friend
Hilma af Klint,1862,1862,Sweden,Influenced By
Javad Hamidi,1918,1918,Paris,Influenced By
Jean Arp,1886,1886,Yves Tanguy,Influenced On
Jean Arp,1886,1886,Edgar Negret,Influenced On
Jean Hugo,1894,1894,Nicolas Poussin,Influenced By
Josef Albers,1888,1888,Piet Mondrian,Influenced By
Josef Albers,1888,1888,Wassily Kandinsky,Influenced By
Josef Albers,1888,1888,Kazimir Malevich,Influenced By
Josef Albers,1888,1888,Ad Reinhardt,Influenced On
Josef Albers,1888,1888,Kuno Gonschior,Influenced On
Josef Albers,1888,1888,Paul Klee,Friend
Karlo Zvirynsky,1923,1923,Roman Selsky,Pupil
Lawren Harris,1885,1885,Emily Carr,Teacher
Lawren Harris,1885,1885,Emily Carr,Influenced On
Lee Krasner,1908,1908,Pablo Picasso,Influenced By
