Karlo Zvirynsky,1923,1923,Abstract Art
Lajos Kassak,1887,1887,Constructivism
Lawren Harris,1885,1885,Art Nouveau
Lee Krasner,1908,1908,Abstract Art
Lino Tagliapietra,1934,1934,Contemporary
Lois Mailou Jones,1905,1905,Harlem Renaissance (New Negro Movement)
Louis Schanker,1903,1903,Cubism
Lyubov Popova,1925,1925,Cubism
Man Ray,1890,1890,Dada
Marcel Janco,1895,1895,Dada
Mark Rothko,1903,1903,Abstract Art
Marsden Hartley,1877,1877,Abstract Art
Martha Boto,1925,1925,Kinetic art
Mathias Goeritz,1915,1915,Minimalism
Michel Seuphor,1901,1901,Abstract Art
Milton Avery,1885,1885,Post-Impressionism
Mordecai Ardon,1896,1896,Abstract Art
Natalia Goncharova,1881,1881,Avant-garde
Ossip Zadkine,1888,1888,Expressionism
Otto Freundlich,1878,1878,Abstract Art
Paul Klee,1879,1879,Expressionism
Paul Nash,1889,1889,Abstract Art
Perle Fine,1905,1905,Abstract Art
Pierre Daura,1896,1896,Post-Impressionism
Princess Fahrelnissa Zeid,1901,1901,Abstract Art
Requena Nozal,1947,1947,Abstract Expressionism
Rochelle Blumenfeld,1936,1936,Post-Painterly Abstraction
Roger Weik,1949,1949,Abstract Art
Roman Selsky,1903,1903,Impressionism
Roy Lichtenstein,1923,1923,Pop Art
Rudolf Bauer,1889,1889,Abstract Art
S. H. Raza,1922,1922,Art Informel
Salvador Dali,1904,1904,Surrealism
Serge Charchoune,1888,1888,Abstract Art
Sonia Delaunay,1885,1885,Avant-garde
Sophie Taeuber-Arp,1889,1889,Dada
Stanisław Ignacy Witkiewicz,1885,1885,Expressionism
Stig Brøgger,1941,1941,Conceptual Art
Theo van Doesburg,1883,1883,Abstract Art
Theodore Roszak,1907,1907,Abstract Art
Tiberiy Szilvashi,1947,1947,Abstract Art
Tihamer Gyarmathy,1915,1915,Abstract Art
Toyen,1902,1902,Surrealism
Valentin Khrushch,1943,1943,Abstract Art
Vanessa Bell,1879,1879,Post-Impressionism
Vera Nedkova,1906,1906,Expressionism
Victor Hugo,1802,1802,Symbolism
Victor Pasmore,1908,1908,Abstract Art
Victor Servranckx,1897,1897,Cubism
Victor Vasarely,1906,1906,Op Art
Vladimir Tatlin,1885,1885,Abstract Art
Walter Battiss,1906,1906,Abstract Art
Wassily Kandinsky,1866,1866,Expressionism
Willi Baumeister,1889,1889,Abstract Art
Winifred Nicholson,1893,1893,Post-Impressionism
Wladyslaw Strzeminski,1893,1893,Abstract Art
Wolfgang Paalen,1905,1905,Surrealism
Yiannis Moralis,1916,1916,Expressionism
Aaron Siskind,1903,1903,Abstract Expressionism
Abidin Dino,1913,1913,Magic Realism
Adja Yunkers,1900,1900,Abstract Expressionism
Adolph Gottlieb,1903,1903,Abstract Expressionism
Aki Kuroda,1944,1944,Contemporary
Al Held,1928,1928,Abstract Art
Albert Irvin,1922,1922,Abstract Art
Alexander Liberman,1912,1912,Post-Painterly Abstraction
Alfred Jensen,1903,1903,Post-Painterly Abstraction
Alice Baber,1928,1928,Abstract Art
Allan Kaprow,1927,1927,Performance Art
Alma Woodsey Thomas,1891,1891,Harlem Renaissance (New Negro Movement)
