artist_name,birth_year,birth_year_key,school_name,time_period
Lorser Feitelson,1898,1898,four abstract classicists,
Michel Carrade,1923,1923,école de paris,
Piero Dorazio,1927,1927,forma 1,
Piero Dorazio,1927,1927,continuità,
Rupprecht Geiger,1908,1908,zen 49,
Thomas Downing,1928,1928,washington color school,
Yves Gaucher,1934,1934,nouveaux plasticiens,
Ben,1926,1926,fluxus,
Ben,1926,1926,zero,
Herman de Vries,1931,1931,zero,
Hubertine Heijermans,1936,1936,dutch school,
Ilya Kabakov,1933,1933,moscow conceptualists,
Ion Grigorescu,1945,1945,prolog group,
Joseph Beuys,1921,1921,fluxus,
Joseph Kosuth,1945,1945,art & language,
Lygia Clark,1920,1920,frente,
Lygia Pape,1927,1927,frente,
Marcel Duchamp,1887,1887,section d'or (puteaux group),
Marcel Duchamp,1887,1887,société des artistes indépendants (society of independent artists),
Marcel Duchamp,1887,1887,société anonyme,
Martin Kippenberger,1953,1953,neue wilde,
Mel Ramsden,1944,1944,art & language,
Olivier Mosset,1944,1944,radical painting group,
Olivier Mosset,1944,1944,bmpt,
Richard Prince,1949,1949,pictures generation,
Robert Filliou,1926,1926,fluxus,
Stanley Brouwn,1935,1935,zero,
Vasiliy Ryabchenko,1954,1954,new wave,
Adolf Fleischmann,1892,1892,munich secession,
Adolf Fleischmann,1892,1892,american abstract artists,
Cesar Domela,1900,1900,abstraction-création,
Cesar Domela,1900,1900,cercle et carré,
Dieter Roth,1983,1983,fluxus,
Georges Vantongerloo,1886,1886,abstraction-création,
Georges Vantongerloo,1886,1886,cercle et carré,
Henryk Stazewski,1894,1894,cercle et carré,
Henryk Stazewski,1894,1894,blok,
Rubem Ludolf,1932,1932,frente,
El Lissitzky,1890,1890,four arts,
El Lissitzky,1890,1890,unovis (уновис) (the champions of the new art),
El Lissitzky,1890,1890,degenerate art,
Erich Buchholz,1927,1927,degenerate art,
Henryk Berlewi,1894,1894,école de paris,
Naum Gabo,1890,1890,st ives school,
Naum Gabo,1890,1890,abstraction-création,
Oskar Schlemmer,1888,1888,bauhaus,
Oskar Schlemmer,1888,1888,degenerate art,
Sandor Bortnyik,1893,1893,bauhaus,
Vadym Meller,1884,1884,société des artistes indépendants (society of independent artists),
Vadym Meller,1884,1884,armu (association of revolutionary masters of ukraine),
Vasyl Yermylov,1894,1894,armu (association of revolutionary masters of ukraine),
Jane Wilson,1924,1924,new york school,
Lucian Freud,1922,1922,school of london,
Joaquin Manuel Fernandez Cruzado,1781,1781,cádiz school,
Leonardo Alenza,1807,1807,madrid school,
Alice Bailly,1872,1872,les fauves,
Andre Derain,1880,1880,les fauves,
Anita Malfatti,1889,1889,grupo dos cinco,
Aristarkh Lentulov,1882,1882,jack of diamonds,
Bela Kadar,1877,1877,degenerate art,
Bertalan Por,1880,1880,eight,
Carlo Carra,1881,1881,lacerba,
Charles Lapicque,1898,1898,école de paris,
Ernst Ludwig Kirchner,1880,1880,die brücke (the bridge),
Ernst Ludwig Kirchner,1880,1880,degenerate art,
George Grosz,1893,1893,degenerate art,
Gino Severini,1883,1883,milan futurist group,
Gino Severini,1883,1883,lacerba,
Gino Severini,1883,1883,école de paris,
Gino Severini,1883,1883,novecento italiano,
Giorgio Morandi,1890,1890,novecento italiano,
Heinrich Campendonk,1889,1889,der blaue reiter (the blue rider),
Heinrich Campendonk,1889,1889,degenerate art,
