title,artwork_date,artist_name,birth_year,birth_year_key
Parabolic Spotlight with Base (model 33267),1972,Roger Tallon,1929,1929
Table Lamps,1979,Claus Bonderup,1943,1943
Table Lamps,1979,Torsten Thorup,1944,1944
Lemon Squeezer,1958,Gino Colombini,1915,1915
Tumblers,1954,Earl S. Tupper,1907,1907
Serving Bowl,1963,Kenneth Brozen,1927,1927
Storage Boxes with Lids,1966,Gene Hurwitt,1906,1906
Stacking Tableware (model TC 100),1959,Nick Roericht,1932,1932
Spring-Band Pliers,1974,George Ygfors,1926,1926
Cubitainer Recessed Plug and Closure Containers,1955,Thomas W. Winstead,1918,1918
Tea Strainer,1955,Bertel Gardberg,1916,1916
Tanaqvil Flatware,1955,Magnus Stephensen,1903,1903
Servus Flatware,1953,Sigurd Persson,1914,1914
Benbecula Paper Knife,1961,Enzo Mari,1932,1932
Fjord Flatware,1953,Jens H. Quistgaard,1919,1919
mono-Ring Flatware,1966,Peter Raacke,1928,1928
GOM Ashtray,1973,Masayuki Kurokawa,1937,1937
Design 2 Flatware,1956,Don Wallance,1909,1909
Pitcher,1976,Koen De Winter,1943,1943
Motocross Helmet (model MX-Pro),1985,Michio Arai,1938,1938
Sound-Level Indicator (model SL-120),1978,Henning Andreasen,1923,1923
Spalter Electric Vacuum Cleaner,1956,Achille Castiglioni,1918,1918
Spalter Electric Vacuum Cleaner,1956,Pier Giacomo Castiglioni,1913,1913
Desk Lamp,1972,Peter Hamburger,1941,1941
Weaving,1977,Moik Schiele,1938,1938
Cadence,1955,Emily Belding,1904,1904
Rain Drapery Fabric,1953,Alexander Girard,1907,1907
Beocenter 7000 Radio-Turntable-Cassette Combination,1979,Jacob Jensen,1926,1926
Poker Table,1968,Joe Colombo,1930,1930
Roof Prism Binoculars,1977,Nikon (Nippon Kogaku K.K.),1917,1917
Disposable Foldable Razor,1975,Giorgio Berretti,1941,1941
Is Stool,1993,Marco Ferreri,1958,1958
Abacus (Furnishing fabric),1946,Paul Rand,1914,1914
Plate,1937,Carl Walters,1883,1883
Carna Folding Wheelchair,1989,Kazuo Kawasaki,1949,1949
Table Clock,1932,Marianne Brandt,1893,1893
Pack 2 Moped,1979,Leopoldo Tartarini,1932,1932
Sake Pitcher and Cups,1992,Makoto Komatsu,1943,1943
Border Riff #3 Sheer Fabric,1948,Ross Littell,1924,1924
Figure of Eight Chair,1993,Ross Lovegrove,1958,1958
Pyramat Erosion Mat,1992,Synthetic Industries,1969,1969
Tea Infuser,1924,Christian Dell,1893,1893
Infradito Nail Varnish Container,1994,Maurizio Ficcadenti,1970,1970
Child's chair,1957,Kristian Vedel,1923,1923
Pythagoras Drapery Fabric,1952,Sven Markelius,1889,1889
Handkerchief Chair,1985,Lella Vignelli,1934,1934
Handkerchief Chair,1985,David Law,1937,1937
Spacenet E12 and E28,1993,Hoechst Trevira GmbH,1946,1946
Ovals #2 textile (Drapery fabric),1954,Joel Robinson,1915,1915
Chair Series 7 (3107),1952,Arne Jacobsen,1902,1902
Paper Vase,1989,Kevin Dwyer,1952,1952
Triad,1951,Eszter Haraszty,1920,1920
Mind Expander / Flyhead Helmet,1968,Haus-Rucker-Co,1967,1967
Mind Expander / Flyhead Helmet,1968,Günter Zamp Kelp,1941,1941
Mind Expander / Flyhead Helmet,1968,Klaus Pinter,1940,1940
Biscuit Jar No.4505,1902,Hugo Leven,1874,1874
PH Table Lamp,1926,Poul Henningsen,1894,1894
Stone on Stone,1950,Vera (Vera Neumann),1909,1909
Eclisse Table Lamp,1966,Vico Magistretti,1920,1920
Sandows Chair,1928,René Herbst,1891,1891
Armchair (model 9),1904,Gebrüder Thonet,1853,1853
Trapeze,1955,Gretl Wollner,1920,1920
Trapeze,1955,Leo Wollner,1925,1925
Springforce Hook,1994,Bent Hedegaard Nobert,1959,1959
Jason Chair,1950,Carl Jacobs,1925,1925
Nesting Tables,1933,Josef Frank,1885,1885
Banda,1949,Angelo Testa,1921,1921
Ona Coatrack,1992,Montse Padrós i Marqués,1952,1952
Ona Coatrack,1992,Carlos Riart,1944,1944
Block Lamp,1996,Harri Koskinen,1970,1970
Constanzina Table Lamp (D13pi),1992,Paolo Rizzatto,1941,1941
Plates,1991,Afra Scarpa,1937,1937
Decorated Panel,1954,Lynn Alexander,1920,1920
Tovaglia Coffee Table,1969,Studio Tetrarc,1969,1969
Pernilla 1 Easy Chair (T105),1944,Bruno Mathsson,1907,1907
Cigarette Box,1916,Oskar Strnad,1879,1879
Upholstery Fabric Sample,1975,Marli Ehrman,1904,1904
Yin-Yang/Mao Tapestry,1971,Helena Hernmarck,1941,1941
Shaded Stripes Wall Hanging,1968,Richard W. Landis,1931,1931
Casement cloth,1940,Marianne Strengell,1909,1909
Sample Blanket Showing Three Weaves,1946,Dorothy Liebes,1899,1899
Boalum Light,1969,Gianfranco Frattini,1926,1926
Boalum Light,1969,Livio Castiglioni,1911,1911
Primitive Forms,1950,Benjamin Baldwin,1913,1913
Sectional Chair,1940,Carl Anderson,1903,1903
Sectional Chair,1940,Ross Bellah,1907,1907
Chemex Coffee Maker,1941,Peter Schlumbohm,1896,1896
Charm Tumblers,1939,Hagbard Elis Bergh,1881,1881
Gioco di Scacchi Chess Set,1971,Man Ray (Emmanuel Radnitzky),1890,1890
Diletto Sofa Bed,1971,Alberto Salvati,1935,1935
Casement Fabric,1949,Jack Lenor Larsen,1927,1927
Ashtray,1946,Blenko Glass Co.,1893,1893
Automatic Coin Sorting Bank,1965,Gustav A. Brown,1908,1908
Light Sticks Lamp (B 7 bowl model),1970,Theodore Waddell,1928,1928
Light Sticks Lamp (B 7 bowl model),1970,Dante Bandini,1940,1940
Hastil Fountain Pen,1969,Marco Zanuso,1916,1916
Anywhere Lamp,1951,Greta Von Nessen,1898,1898
Speaker (model SST-1),1988,Shuichi Obata,1932,1932
Marco 8-cup Coffee Percolator,1946,Edward Condak,1900,1900
Platter,1989,Asao Sakamoto,1950,1950
Casserole,1959,Timo Sarpaneva,1926,1926
Kubus Stacking Storage Containers,1938,Wilhelm Wagenfeld,1900,1900
Cowhorn Chair (model PP 505),1952,Hans Wegner,1914,1914
Ashtrays and Matchbox Covers,1934,Lurelle Guild,1898,1898
#2765 Yuragi (Fluctuation),1997,Akihiro Kaneko,1961,1961
Pedocal,1996,Yoshihiro Kimura,1947,1947
Wall Hanging,1924,Gunta Stölzl,1897,1897
Brickyard,1997,Keiji Otani,1967,1967
Vases,1908,Frank Graham Holmes,1878,1878
Moss Temple,1997,Reiko Sudo,1953,1953
Cocktail Shaker,1938,W. Archibald Welden,1900,1900
Fish,1969,Dora Jung,1906,1906
Iridescent Satin,1994,Koichi Yoshimura,1940,1940
Bud Vase,1900,Johann Loetz,1848,1848
Presto Cheese Slicer,1944,John R. Carroll,1892,1892
Streamliner Meat Slicer (model 410),1940,Egmont Arens,1888,1888
Streamliner Meat Slicer (model 410),1940,Theodore C. Brookhart,1898,1898
Lifetime Ware,1940,Jon Hedu,1914,1914
